suggested_action,reason,title,venue,year,doi,citations_s2,source
review,topical but needs manual check,Observing carbon monoxide and volatile organic compounds from Canadian wildfires in 2023 from FengYun-3E/HIRAS-II in a dawn-dusk sun-synchronous orbit,Remote Sensing of Environment,2025,10.1016/j.rse.2025.114829,11,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Characteristics of interannual variability in space-based XCO2 global observations,Atmospheric Chemistry and Physics,2023,10.5194/acp-23-5355-2023,11,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Lagged effects dominate the inter-annual variability of the 2010–2015 tropical carbon balance,,2020,10.5194/bg-2019-459,10,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Multi‐Season Evaluation of CO2 Weather in OCO‐2 MIP Models,Journal of Geophysical Research - Atmospheres,2021,10.1029/2021JD035457,10,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Enhanced regional terrestrial carbon uptake over Korea revealed by atmospheric CO2 measurements from 1999 to 2017,Global Change Biology,2020,10.1111/gcb.15061,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Response to Comment on “Contrasting carbon cycle responses of the tropical continents to the 2015–2016 El Niño”,Science,2018,10.1126/science.aat1211,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Quantifying Northern High Latitude Gross Primary Productivity (GPP) Using Carbonyl Sulfide (OCS),Global Biogeochemical Cycles,2022,10.1029/2021GB007216,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Remote‐Sensing Derived Trends in Gross Primary Production Explain Increases in the CO2 Seasonal Cycle Amplitude,Global Biogeochemical Cycles,2022,10.1029/2021GB007220,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Characterizing and communicating uncertainty: lessons from NASA’s Carbon Monitoring System,Environmental Research Letters,2024,10.1088/1748-9326/ad8be0,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,The concentration profile of nitric acid and other species over Saskatchewan in August 1998: Retrieval from data recorded by thermal‐emission radiometry,,2005,10.3137/ao.430407,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Toward Low‐Latency Estimation of Atmospheric CO2 Growth Rates Using Satellite Observations: Evaluating Sampling Errors of Satellite and In Situ Observing Approaches,AGU Advances,2024,10.1029/2023AV001145,7,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Satellite-detected large CO2 release in southwestern North America during the 2020–2021 drought and associated wildfires,Environmental Research Letters,2024,10.1088/1748-9326/ad3cf7,7,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Validation of GOSAT SWIR XCO2 and XCH4 Retrieved by PPDF-S Method and Comparison with Full Physics Method,,2017,10.2151/SOLA.2017-031,7,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Anomalous Net Biome Exchange Over Amazonian Rainforests Induced by the 2015/16 El Niño: Soil Dryness‐Shaped Spatial Pattern but Temperature‐dominated Total Flux,Geophysical Research Letters,2023,10.1029/2023GL103379,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Canadian net forest CO2 uptake enhanced by heat drought via reduced respiration,Nature Geoscience,2026,10.1038/s41561-025-01875-1,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Two decades of permafrost region CO2, CH4, and N2O budgets suggest a small net greenhouse gas source to the atmosphere",,2023,,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Bias Correction of the Ratio of Total Column CH4 to CO2 Retrieved from GOSAT Spectra,Remote Sensing,2020,10.3390/RS12193155,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,"Retrieval of atmospheric CO2 vertical profiles from ground-based
near-infrared spectra",,2020,10.5194/amt-2020-429,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Statistical properties of atmospheric greenhouse gas measurements: Looking down from space and looking up from the ground,,2017,10.1016/J.CHEMOLAB.2016.11.014,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
review,topical but needs manual check,Reduction in Earth’s carbon budget imbalance,Nature Communications,2025,10.1038/s41467-025-61588-2,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The Global Methane Budget 2000–2017,Earth System Science Data,2019,10.5194/essd-2019-128,2860,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global Carbon Budget 2023,Earth System Science Data,2023,10.5194/essd-15-5301-2023,1285,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The Total Carbon Column Observing Network,"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",2011,10.1098/rsta.2010.0240,1219,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global Carbon Budget 2024,Earth System Science Data,2025,10.5194/essd-17-965-2025,719,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Pre-industrial to end 21st century projections of tropospheric ozone from the Atmospheric Chemistry and Climate Model Intercomparison Project (ACCMIP),,2012,10.5194/ACP-13-2063-2013,668,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",ECCO2: High Resolution Global Ocean and Sea Ice Data Synthesis,,2008,,497,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric Measurement Techniques Calibration of the Total Carbon Column Observing Network using aircraft profile data,,2010,,461,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global Carbon Budget 2022,Earth System Science Data,2022,10.5194/essd-14-4811-2022,440,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Comparisons of the Orbiting Carbon Observatory-2 (OCO-2) X CO 2 measurements with TCCON,,2016,10.5194/AMT-10-2209-2017,395,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Quantifying CO2 Emissions From Individual Power Plants From Space,,2017,10.1002/2017GL074702,288,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Methane retrieved from TROPOMI: improvement of the data product and validation of the first 2 years of measurements,,2021,10.5194/AMT-14-665-2021,272,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Methane observations from the Greenhouse Gases Observing SATellite: Comparison to ground‐based TCCON data and model calculations,,2011,10.1029/2011GL047871,253,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Preliminary validation of column-averaged volume mixing ratios of carbon dioxide and methane retrieved from GOSAT short-wavelength infrared spectra,,2010,10.5194/AMT-4-1061-2011,251,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric and oceanic excitation of the Earth's wobbles during 1980–2000,,2003,10.1029/2002JB002143,194,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric carbon dioxide retrieved from the Greenhouse gases Observing SATellite (GOSAT): Comparison with ground‐based TCCON observations and GEOS‐Chem model calculations,,2012,10.1029/2012JD018087,194,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Retrieval of atmospheric CO2 with enhanced accuracy and precision from SCIAMACHY: validation with FTS measurements and comparison with model results,,2011,10.1029/2010JD015047,186,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Building the COllaborative Carbon Column Observing Network (COCCON): long-term stability and ensemble performance of the EM27/SUN Fourier transform spectrometer,Atmospheric Measurement Techniques,2018,10.5194/AMT-12-1513-2019,175,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Four corners: The largest US methane anomaly viewed from space,,2014,10.1002/2014GL061503,165,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",On the sources of methane to the Los Angeles atmosphere.,Environmental Science and Technology,2012,10.1021/es301138y,154,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The Orbiting Carbon Observatory (OCO-2): spectrometer performance evaluation using pre-launch direct sun measurements,,2014,10.5194/AMT-8-301-2015,153,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","A multi-year methane inversion using SCIAMACHY, accounting for systematic errors using TCCON measurements",,2013,10.5194/ACP-14-3991-2014,147,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Calibration of TCCON column-averaged CO2: the first aircraft campaign over European TCCON sites,,2011,10.5194/ACP-11-10765-2011,147,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global tropospheric ozone responses to reduced NOx emissions linked to the COVID-19 worldwide lockdowns,Science Advances,2020,10.1126/sciadv.abf7460,143,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Validation of Methane and Carbon Monoxide from Sentinel-5 Precursor using TCCON and NDACC-IRWG stations,Atmospheric Measurement Techniques,2021,10.5194/AMT-14-6249-2021,140,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",A scientific algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor,Atmospheric Measurement Techniques,2019,10.5194/AMT-12-6771-2019,135,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The Greenhouse Gas Climate Change Initiative (GHG-CCI): Comparison and quality assessment of near-surface-sensitive satellite-derived CO2 and CH4 global data sets,,2015,10.1016/J.RSE.2013.04.024,131,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The Total Carbon Column Observing Network's GGG2020 data version,Earth System Science Data,2024,10.5194/essd-16-2197-2024,124,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Evaluating the consistency between OCO-2 and OCO-3 XCO2 estimates derived from the NASA ACOS version 10 retrieval algorithm,Atmospheric Measurement Techniques,2023,10.5194/amt-16-3173-2023,115,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric and oceanic excitation of length-of-day variations during 1980–2000,,2004,10.1029/2003JB002432,112,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",The greenhouse gas climate change initiative (GHG-CCI): Comparative validation of GHG-CCI SCIAMACHY/ENVISAT and TANSO-FTS/GOSAT CO2 and CH4 retrieval algorithm products with measurements from the TCCON,,2013,10.5194/AMT-7-1723-2014,96,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","Consistent evaluation of ACOS-GOSAT, BESD-SCIAMACHY, CarbonTracker, and MACC through comparisons to TCCON",,2015,10.5194/AMT-9-683-2016,95,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric greenhouse gases retrieved from SCIAMACHY: comparison to ground-based FTS measurements and model results,,2011,10.5194/ACP-12-1527-2012,89,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global CO2fluxes inferred from surface air‐sample measurements and from TCCON retrievals of the CO2 total column,,2011,10.1029/2011GL049899,86,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON),,2009,10.1364/FTS.2009.JMA3,83,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Atmospheric and oceanic excitation of decadal‐scale Earth orientation variations,,2005,10.1029/2004JB003565,74,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Methane emissions from dairies in the Los Angeles Basin,,2016,10.5194/ACP-17-7509-2017,74,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global satellite observations of column-averaged carbon dioxide and methane: The GHG-CCI XCO2 and XCH4 CRDP3 data set,,2017,10.1016/J.RSE.2016.12.027,73,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Balance of Emission and Dynamical Controls on Ozone During the Korea‐United States Air Quality Campaign From Multiconstituent Satellite Data Assimilation,Journal of Geophysical Research - Atmospheres,2019,10.1029/2018JD028912,70,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Consistent satellite XCO 2 retrievals from SCIAMACHY and GOSAT using the BESD algorithm,,2015,10.5194/AMT-8-2961-2015,67,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Bias corrections of GOSAT SWIR XCO2 and XCH4 with TCCON data and their evaluation using aircraft measurement data,,2016,10.5194/AMT-9-3491-2016,66,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Effects of atmospheric light scattering on spectroscopic observations of greenhouse gases from space. Part 2: Algorithm intercomparison in the GOSAT data processing for CO2 retrievals over TCCON sites,,2013,10.1002/jgrd.50146,66,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Toward High Precision XCO2 Retrievals From TanSat Observations: Retrieval Improvement and Validation Against TCCON Measurements,Journal of Geophysical Research - Atmospheres,2020,10.1029/2020JD032794,63,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Estimate of carbonyl sulfide tropical oceanic surface fluxes using Aura Tropospheric Emission Spectrometer observations,,2015,10.1002/2015JD023493,55,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global Carbon Budget 2025,Earth System Science Data,2026,10.5194/essd-18-3211-2026,54,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Aircraft measurements of carbon dioxide and methane for the calibration of ground-based high-resolution Fourier Transform Spectrometers and a comparison to GOSAT data measured over Tsukuba and Moshiri,,2012,10.5194/AMT-5-2003-2012,49,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",An 11-year record of XCO2 estimates derived from GOSAT measurements using the NASA ACOS version 9 retrieval algorithm,Earth System Science Data,2022,10.5194/essd-14-325-2022,46,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON) Site: Park Falls,,2014,10.14291/TCCON.GGG2014.PARKFALLS01.R0/1149161,42,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",A method for colocating satellite X CO 2 data to ground-based data and its application to ACOS-GOSAT and TCCON,,2014,10.5194/AMT-7-2631-2014,41,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","Quality controls, bias, and seasonality of CO2 columns in the boreal forest with Orbiting Carbon Observatory-2, Total Carbon Column Observing Network, and EM27/SUN measurements",Atmospheric Measurement Techniques,2020,10.5194/AMT-13-5033-2020,40,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Evaluation of seasonal atmosphere–biosphere exchange estimations with TCCON measurements,,2013,10.5194/ACP-13-5103-2013,40,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Vertically constrained CO2 retrievals from TCCON measurements,,2012,10.1016/J.JQSRT.2012.04.024,38,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","Total Column Carbon Observing Network (TCCON), Site: Pasadena, California",,2015,10.14291/TCCON.GGG2014.PASADENA01.R1/1182415,37,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Preflight Spectral Calibration of the Orbiting Carbon Observatory 2,IEEE Transactions on Geoscience and Remote Sensing,2017,10.1109/TGRS.2016.2645614,35,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Derivation of tropospheric methane from TCCON CH 4 and HF total column observations,,2014,10.5194/AMT-7-2907-2014,35,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",B355 The Total Carbon Column Observing Network (TCCON),,2011,,35,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Using a Speed-Dependent Voigt Line Shape to Retrieve O2 from Total Carbon Column Observing Network Solar Spectra to Improve Measurements of XCO2,Atmospheric Measurement Techniques,2019,10.5194/AMT-12-35-2019,34,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Evaluation of Sentinel-5P TROPOMI Methane Observations at Northern High Latitudes,Remote Sensing,2024,10.3390/rs16162979,32,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","CH4, CO, and H2O spectroscopy for the Sentinel-5 Precursor mission: an assessment with the Total Carbon Column Observing Network measurements",,2012,10.5194/AMT-5-1387-2012,31,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Global CO 2 fluxes inferred from surface air-sample measurements and from TCCON retrievals of the CO 2 total column,,2011,,30,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Comparison of XH2O Retrieved from GOSAT Short-Wavelength Infrared Spectra with Observations from the TCCON Network,Remote Sensing,2016,10.3390/RS8050414,27,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Impact of Southern California anthropogenic emissions on ozone pollution in the mountain states: Model analysis and observational evidence from space,,2013,10.1002/2013JD020205,25,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",CH4 Fluxes Derived from Assimilation of TROPOMI XCH4 in CarbonTracker Europe-CH4: Evaluation of Seasonality and Spatial Distribution in the Northern High Latitudes,Remote Sensing,2023,10.3390/rs15061620,24,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON) Site: Lamont,,2014,10.14291/TCCON.GGG2014.LAMONT01.R0/1149159,23,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",A scientiﬁc algorithm to simultaneously retrieve carbon monoxide and methane from TROPOMI onboard Sentinel-5 Precursor,,,,22,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Drivers of column-average CO 2 variability at Southern Hemispheric total carbon column observing network sites,,2013,10.5194/ACP-14-9883-2014,19,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Using portable low-resolution spectrometers to evaluate Total Carbon Column Observing Network (TCCON) biases in North America,Atmospheric Measurement Techniques,2023,10.5194/amt-16-1239-2023,17,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Simultaneous retrieval of atmospheric CO2 and light path modification from space-based spectroscopic observations of greenhouse gases: methodology and application to GOSAT measurements over TCCON sites.,Applied Optics,2013,10.1364/AO.52.001339,17,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Study of the footprints of short-term variation in XCO<sub>2</sub> observed by TCCON sites using NIES and FLEXPART atmospheric transport models,Atmospheric Chemistry and Physics,2016,10.5194/ACP-17-143-2017,16,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Methane retrieved from TROPOMI: improvement of the data product and validation of the first two years of measurements,,2020,10.5194/amt-2020-281,15,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","Consistent evaluation of GOSAT, SCIAMACHY, CarbonTracker, and MACC through comparisons to TCCON",,2015,10.5194/amtd-8-6217-2015,15,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Synergetic use of IASI profile and TROPOMI total-column level 2 methane retrieval products,Atmospheric Measurement Techniques,2022,10.5194/amt-15-4339-2022,14,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON) Site: Jet Propulsion Laboratory,,2014,10.14291/TCCON.GGG2014.JPL02.R0/1149297,13,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON) Site: Manaus,,2014,10.14291/TCCON.GGG2014.MANAUS01.R0/1149274,12,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",An extended intercomparison of simultaneous ground-based Fourier transform infrared spectrometer measurements at the Toronto Atmospheric Observatory,,2008,10.1016/J.JQSRT.2008.03.011,12,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Using a portable FTIR spectrometer to evaluate the consistency of Total Carbon Column Observing Network (TCCON) measurements on a global scale: the Collaborative Carbon Column Observing Network (COCCON) travel standard,Atmospheric Measurement Techniques,2024,10.5194/amt-17-3467-2024,11,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Comparisons of the v11.1 Orbiting Carbon Observatory‐2 (OCO‐2) XCO2 Measurements With GGG2020 TCCON,Earth and Space Science,2025,10.1029/2024EA003935,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Evaluation of atmosphere-biosphere exchange estimations with TCCON measurements,,2012,10.5194/ACPD-12-12759-2012,9,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Impact of Data Assimilation on ECCO2 Equatorial Undercurrent and North Equatorial Countercurrent in the Pacific Ocean,,2015,10.1175/JTECH-D-14-00025.1,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",An eleven year record of XCO2 estimates derived from GOSAT measurements using the NASA ACOS version 9 retrieval algorithm,,2021,10.5194/essd-2021-247,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Profiling Tropospheric CO2 using the Aura TES and TCCON instruments,,2012,10.5194/amtd-5-4495-2012,8,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",Total Column Carbon Observing Network (TCCON) Site: Indianapolis/InFLUX,,2014,10.14291/TCCON.GGG2014.INDIANAPOLIS01.R0/1149164,6,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)","Fiducial Reference Measurements for Greenhouse Gases (FRM4GHG): Validation of Satellite (Sentinel-5 Precursor, OCO-2, and GOSAT) Missions Using the COllaborative Carbon Column Observing Network (COCCON)",Remote Sensing,2025,10.3390/rs17050734,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
exclude,"community/instrument/adjacent-group paper (co-authored, not CMS-Flux output)",A comparison of carbon monoxide retrievals between the MOPITT satellite and Canadian high-Arctic ground-based NDACC and TCCON FTIR measurements,Atmospheric Measurement Techniques,2022,10.5194/amt-15-6837-2022,5,S2 core-author crawl (Bowman/Liu/Byrne/+co-authors)
